Nombre,Edad,Estatura,Peso,HorasEstudio,Calificacion
Ana,20,1.62,58.0,8.0,88
Luis,21,1.75,72.0,7.0,82
María,19,1.6,55.0,9.0,91
Carlos,22,1.8,80.0,5.0,70
Sofía,20,1.68,62.0,8.0,87
José,23,1.77,76.0,4.0,65
Valeria,19,1.64,57.0,10.0,95
Diego,21,1.72,70.0,6.0,78
Laura,20,1.58,54.0,9.0,92
Andrés,24,1.82,85.0,3.0,58
Camila,22,1.66,61.0,7.0,84
Mateo,21,1.74,73.0,5.0,72
Daniela,20,1.61,56.0,8.0,89
Pablo,23,1.79,82.0,4.0,63
Gabriela,19,1.65,59.0,10.0,96
Ricardo,22,1.76,78.0,6.0,80
Natalia,21,1.63,60.0,7.0,85
Fernando,20,1.81,84.0,2.0,52
Paula,19,1.59,53.0,9.0,93
Esteban,22,1.73,71.0,5.0,74
Andrea,21,1.67,63.0,8.0,90
Kevin,20,1.7,68.0,6.0,79
Melissa,23,1.62,57.0,7.0,86
Jorge,22,1.78,79.0,4.0,67
Sofía,20,1.68,62.0,8.0,87
Marcos,21,1.71,69.0,,76
Lucía,19,,56.0,9.0,94
Óscar,veintidós,1.75,74.0,6.0,81
Raúl,150,1.8,82.0,5.0,73
Elena,20,1.64,,8.0,88
